u_id_c	u_age_c	u_gender_c
0	0	0
1	4	1
2	4	1
3	1	1
4	6	1
5	5	1
6	5	1
7	6	1
8	5	1
9	7	1
10	4	1
11	6	2
12	4	2
13	6	1
14	7	1
15	7	1
16	5	1
17	6	2
18	6	1
19	5	2
20	4	2
21	7	1
22	7	2
23	3	2
24	3	1
25	5	1
26	4	2
27	3	2
28	4	1
29	5	1
30	4	3
31	5	2
32	6	2
33	5	1
34	1	1
35	5	1
36	1	2
37	1	2
38	6	1
39	4	1
40	1	1
41	6	1
42	4	1
43	6	1
44	1	1
45	1	1
46	1	1
47	8	2
48	6	1
49	8	1
50	3	2
51	5	1
52	5	1
53	4	1
54	4	1
55	1	1
56	5	2
57	5	1
58	5	1
59	1	1
60	6	1
61	5	2
62	5	1
63	7	3
64	1	2
65	5	1
66	4	1
67	4	1
68	4	2
69	4	1
70	7	1
71	1	1
72	5	1
73	6	1
74	4	1
75	6	1
76	3	1
77	1	1
78	3	1
79	4	1
80	4	2
81	3	1
82	4	1
83	7	1
84	4	1
85	4	1
86	5	3
87	1	1
88	1	1
89	4	3
90	6	2
91	4	3
92	6	1
93	4	1
94	4	1
95	6	1
96	8	1
97	3	2
98	1	1
99	5	1
100	1	1
101	1	2
102	1	1
103	4	1
104	1	1
105	3	3
106	5	1
107	7	1
108	1	1
109	1	1
110	5	1
111	4	1
112	1	1
113	4	1
114	4	2
115	1	2
116	4	1
117	4	2
118	3	2
119	5	1
120	1	1
121	4	1
122	4	3
123	1	1
124	3	2
125	6	1
126	5	1
127	5	1
128	6	1
129	5	1
130	5	1
131	5	1
132	4	2
133	5	1
134	3	1
135	4	1
136	3	1
137	1	1
138	4	1
139	3	1
140	4	1
141	1	1
142	4	1
143	6	1
144	7	1
145	5	2
146	6	1
147	5	2
148	4	1
149	1	1
150	5	1
151	1	1
152	5	1
153	4	1
154	1	2
155	4	1
156	7	1
157	9	2
158	6	1
159	5	1
160	4	1
161	6	1
162	5	2
163	4	1
164	1	1
165	4	1
166	7	1
167	5	1
168	4	1
169	7	2
170	5	1
171	3	1
172	4	1
173	1	2
174	4	1
175	5	1
176	1	1
177	1	1
178	6	1
179	5	1
180	4	1
181	7	1
182	4	1
183	5	1
184	6	2
185	5	1
186	5	2
187	4	1
188	1	2
189	3	1
190	1	2
191	7	1
192	6	2
193	5	1
194	5	1
195	4	1
196	1	1
197	5	1
198	4	1
199	3	2
200	5	2
201	7	1
202	5	1
203	3	1
204	1	1
205	1	1
206	1	1
207	5	1
208	6	2
209	5	1
210	5	1
211	3	1
212	1	1
213	1	1
214	1	1
215	4	2
216	3	2
217	7	3
